Time,FLrpm,FRrpm,RLrpm,RRrpm,FL,FR,RL,RR,Ax,Ay,Az,RollR,PitchR,YawR,PitchPos,RollPos
0.52,0,0,0,0,468,2234,1888,1927,0,0,-0.300000012,0,0,0,179.6699982,-0.930000007
0.53,0,0,0,0,468,2234,1888,1917,0.079999998,-0.180000007,-0.059999999,0,0,0,179.6699982,-0.930000007
0.54,0,0,0,0,468,2234,1887,1921,0.029999999,-0.090000004,0.349999994,0,0,0,179.6699982,-0.930000007
0.55,0,0,0,0,468,2234,1888,1920,-0.039999999,0.059999999,0.079999998,0,0,0,179.6699982,-0.930000007
0.56,0,0,0,0,468,2233,1887,1910,0.039999999,0.01,-0.340000004,0,0,0,179.6699982,-0.930000007
0.57,0,0,0,0,468,2232,1888,1910,0.059999999,-0.109999999,-0.059999999,0,0,0,179.6699982,-0.930000007
0.58,0,0,0,0,468,2232,1888,1910,0.01,-0.039999999,0.379999995,0,0,0,179.6699982,-0.930000007
0.59,0,0,0,0,469,2237,1888,1925,-0.029999999,0.150000006,0.109999999,0,0,0,179.6699982,-0.930000007
0.6,0,0,0,0,469,2227,1888,1926,-0.02,0.090000004,-0.360000014,0,0,0,179.6699982,-0.930000007
0.61,0,0,0,0,469,2229,1887,1918,0.059999999,-0.059999999,-0.039999999,0,0,0,179.6699982,-0.930000007
0.62,0,0,0,0,469,2229,1888,1925,0.029999999,-0.07,0.370000005,0,0,0,179.6699982,-0.930000007
0.63,0,0,0,0,469,2240,1888,1918,-0.029999999,0.079999998,0.07,0,0,0,179.6699982,-0.930000007
0.64,0,0,0,0,469,2233,1887,1917,0.029999999,-0.02,-0.360000014,0,0,0,179.6699982,-0.930000007
0.65,0,0,0,0,469,2233,1887,1917,0.050000001,-0.150000006,-0.07,0,0,0,179.6699982,-0.930000007
0.66,0,0,0,0,469,2232,1887,1912,0.039999999,-0.090000004,0.330000013,0,0,0,179.6699982,-0.930000007
0.67,0,0,0,0,469,2232,1888,1915,-0.039999999,0.119999997,0.059999999,0,0,0,179.6699982,-0.930000007
0.68,0,0,0,0,469,2232,1888,1914,0,0.02,-0.400000006,0,0,0,179.6699982,-0.930000007
0.69,0,0,0,0,469,2230,1888,1918,0.039999999,-0.050000001,-0.050000001,0,0,0,179.6699982,-0.930000007
0.7,0,0,0,0,469,2231,1888,1920,0,0,0.389999986,0,0,0,179.6699982,-0.930000007
0.71,0,0,0,0,469,2231,1888,1918,-0.050000001,0.159999996,0.079999998,0,0,0,179.6699982,-0.930000007
0.72,0,0,0,0,469,2232,1888,1919,0,0.059999999,-0.360000014,0,0,0,179.6699982,-0.930000007
0.73,0,0,0,0,469,2236,1888,1919,0.050000001,-0.090000004,-0.029999999,0,0,0,179.6699982,-0.930000007
0.74,0,0,0,0,469,2231,1887,1909,0,-0.050000001,0.409999996,0,0,0,179.6699982,-0.930000007
0.75,0,0,0,0,469,2225,1888,1912,-0.059999999,0.090000004,0.039999999,0,0,0,179.6699982,-0.930000007
0.76,0,0,0,0,469,2230,1887,1912,-0.01,0,-0.400000006,0,0,0,179.6699982,-0.930000007
0.77,0,0,0,0,469,2229,1888,1912,0.039999999,-0.129999995,-0.059999999,0,0,0,179.6699982,-0.930000007
0.78,0,0,0,0,469,2229,1888,1913,-0.01,-0.07,0.400000006,0,0,0,179.6699982,-0.930000007
0.79,0,0,0,0,470,2232,1888,1914,-0.059999999,0.090000004,0.050000001,0,0,0,179.6699982,-0.930000007
0.8,0,0,0,0,470,2232,1888,1920,-0.01,0.01,-0.389999986,0,0,0,179.6699982,-0.930000007
0.81,0,0,0,0,470,2232,1888,1919,0.07,-0.109999999,0,0,0,0,179.6699982,-0.930000007
0.82,0,0,0,0,470,2232,1888,1910,0.02,-0.059999999,0.419999987,0,0,0,179.6699982,-0.930000007
0.83,0,0,0,0,470,2232,1888,1910,-0.029999999,0.079999998,0.02,0,0,0,179.6699982,-0.930000007
0.84,0,0,0,0,470,2224,1888,1907,0.02,-0.01,-0.370000005,0,0,0,179.6699982,-0.930000007
0.85,0,0,0,0,470,2227,1888,1916,0.02,-0.01,-0.370000005,0,0,0,179.6699982,-0.930000007
0.86,0,0,0,0,470,2222,1888,1919,0.01,-0.050000001,0.430000007,0,0,0,179.6699982,-0.930000007
0.87,0,0,0,0,470,2222,1888,1907,-0.050000001,0.150000006,0.01,0,0,0,179.6699982,-0.930000007
0.88,0,0,0,0,470,2225,1888,1915,0.01,0.039999999,-0.370000005,0,0,0,179.6699982,-0.930000007
0.89,0,0,0,0,470,2232,1888,1912,0.050000001,-0.090000004,0.01,0,0,0,179.6699982,-0.930000007
0.9,0,0,0,0,470,2232,1888,1920,0.02,-0.01,0.400000006,0,0,0,179.6699982,-0.930000007
0.91,0,0,0,0,470,2227,1888,1912,-0.059999999,0.140000001,0.02,0,0,0,179.6699982,-0.930000007
0.92,0,0,0,0,470,2231,1888,1915,0,0,-0.360000014,0,0,0,179.6699982,-0.930000007
0.93,0,0,0,0,470,2226,1888,1915,0.029999999,-0.159999996,-0.02,0,0,0,179.6699982,-0.930000007
0.94,0,0,0,0,470,2226,1888,1909,-0.01,-0.07,0.389999986,0,0,0,179.6699982,-0.930000007
0.95,0,0,0,0,470,2223,1888,1920,-0.059999999,0.079999998,-0.029999999,0,0,0,179.6699982,-0.930000007
0.96,0,0,0,0,470,2223,1888,1919,-0.01,0,-0.330000013,0,0,0,179.6699982,-0.930000007
0.97,0,0,0,0,470,2220,1888,1919,0.039999999,-0.119999997,0.01,0,0,0,179.6699982,-0.930000007
0.98,0,0,0,0,470,2233,1888,1920,-0.01,-0.02,0.370000005,0,0,0,179.6699982,-0.930000007
0.99,0,0,0,0,470,2233,1888,1915,-0.02,0.119999997,0,0,0,0,179.6699982,-0.930000007
1,0,0,0,0,470,2231,1888,1928,0.029999999,0,-0.340000004,0,0,0,179.6699982,-0.930000007
1.01,0,0,0,0,470,2231,1888,1915,0.119999997,-0.109999999,0.01,0,0,0,179.6699982,-0.930000007
1.02,0,0,0,0,470,2235,1888,1915,0.02,-0.029999999,0.400000006,0,0,0,179.6699982,-0.930000007
1.03,0,0,0,0,471,2227,1888,1915,0,0.150000006,0,0,0,0,179.6699982,-0.930000007
1.04,0,0,0,0,471,2233,1888,1910,0.029999999,0,-0.340000004,0,0,0,179.6699982,-0.930000007
1.05,0,0,0,0,471,2221,1888,1920,0.059999999,-0.100000002,0.07,0,0,0,179.6699982,-0.930000007
1.06,0,0,0,0,470,2221,1888,1910,-0.050000001,-0.029999999,0.379999995,0,0,0,179.6699982,-0.930000007
1.07,0,0,0,0,471,2228,1888,1911,-0.109999999,0.119999997,-0.02,0,0,0,179.6699982,-0.930000007
1.08,0,0,0,0,471,2221,1887,1920,-0.01,-0.050000001,-0.360000014,0,0,0,179.6699982,-0.930000007
1.09,0,0,0,0,471,2237,1888,1920,0.01,-0.109999999,0.029999999,0,0,0,179.6699982,-0.930000007
1.1,0,0,0,0,471,2228,1888,1927,-0.02,-0.050000001,0.330000013,0,0,0,179.6699982,-0.930000007
1.11,0,0,0,0,471,2228,1888,1917,-0.07,0.109999999,-0.050000001,0,0,0,179.6699982,-0.930000007
1.12,0,0,0,0,471,2238,1887,1916,0.029999999,-0.050000001,-0.349999994,0,0,0,179.6699982,-0.930000007
1.13,0,0,0,0,471,2227,1888,1916,0.07,-0.079999998,0.100000002,0,0,0,179.6699982,-0.930000007
1.14,0,0,0,0,471,2221,1888,1910,0.02,-0.02,0.409999996,0,0,0,179.6699982,-0.930000007
1.15,0,0,0,0,471,2221,1888,1920,0.02,-0.02,0.409999996,0,0,0,179.6699982,-0.930000007
1.16,0,0,0,0,471,2222,1888,1911,0.029999999,-0.01,-0.340000004,0,0,0,179.6699982,-0.930000007
1.17,0,0,0,0,471,2222,1887,1912,0.059999999,-0.059999999,0.07,0,0,0,179.6699982,-0.930000007
1.18,0,0,0,0,471,2223,1888,1920,-0.039999999,0,0.319999993,0,0,0,179.6699982,-0.930000007
1.19,0,0,0,0,471,2240,1888,1918,-0.059999999,0.109999999,-0.119999997,0,0,0,179.6699982,-0.930000007
1.2,0,0,0,0,471,2228,1888,1925,0,-0.090000004,-0.330000013,0,0,0,179.6699982,-0.930000007
1.21,0,0,0,0,471,2238,1888,1918,0.01,-0.119999997,0.090000004,0,0,0,179.6699982,-0.930000007
1.22,0,0,0,0,471,2238,1887,1918,-0.029999999,0,0.310000002,0,0,0,179.6699982,-0.930000007
1.23,0,0,0,0,471,2238,1888,1918,-0.050000001,0.090000004,-0.090000004,0,0,0,179.6699982,-0.930000007
1.24,0,0,0,0,471,2223,1887,1913,0.029999999,-0.029999999,-0.310000002,0,0,0,179.6699982,-0.930000007
1.25,0,0,0,0,471,2223,1888,1917,0.029999999,-0.029999999,-0.310000002,0,0,0,179.6699982,-0.930000007
1.26,0,0,0,0,471,2225,1888,1914,-0.02,0.029999999,0.310000002,0,0,0,179.6699982,-0.930000007
1.27,0,0,0,0,471,2234,1888,1918,-0.07,0.119999997,-0.109999999,0,0,0,179.6699982,-0.930000007
1.28,0,0,0,0,471,2225,1888,1920,0.01,-0.039999999,-0.319999993,0,0,0,179.6699982,-0.930000007
1.29,0,0,0,0,472,2239,1888,1920,0.029999999,-0.090000004,0.129999995,0,0,0,179.6699982,-0.930000007
1.3,0,0,0,0,471,2229,1888,1924,-0.029999999,0.050000001,0.310000002,0,0,0,179.6699982,-0.930000007
1.31,0,0,0,0,472,2228,1888,1918,-0.07,0.109999999,-0.180000007,0,0,0,179.6699982,-0.930000007
1.32,0,0,0,0,472,2238,1888,1918,0.029999999,-0.090000004,0.159999996,0,0,0,179.6699982,-0.930000007
1.33,0,0,0,0,472,2238,1888,1924,0.029999999,-0.090000004,0.159999996,0,0,0,179.6699982,-0.930000007
1.34,0,0,0,0,472,2225,1888,1917,-0.050000001,0.119999997,-0.180000007,0,0,0,179.6699982,-0.930000007
1.35,0,0,0,0,472,2225,1888,1917,-0.050000001,0.119999997,-0.180000007,0,0,0,179.6699982,-0.930000007
1.36,0,0,0,0,471,2225,1888,1913,0.029999999,-0.07,-0.259999991,0,0,0,179.6699982,-0.930000007
1.37,0,0,0,0,472,2225,1888,1915,0.039999999,-0.100000002,0.170000002,0,0,0,179.6699982,-0.930000007
1.38,0,0,0,0,472,2225,1888,1917,0,0.039999999,0.300000012,0,0,0,179.6699982,-0.930000007
1.39,0,0,0,0,472,2237,1888,1917,-0.039999999,0.109999999,-0.200000003,0,0,0,179.6699982,-0.930000007
1.4,0,0,0,0,472,2230,1888,1921,0.029999999,-0.079999998,-0.330000013,0,0,0,179.6699982,-0.930000007
1.41,0,0,0,0,472,2238,1888,1921,0.050000001,-0.100000002,0.170000002,0,0,0,179.6699982,-0.930000007
1.42,0,0,0,0,472,2238,1888,1922,-0.050000001,0.039999999,0.310000002,0,0,0,179.6699982,-0.930000007
1.43,0,0,0,0,472,2232,1888,1919,-0.07,0.100000002,-0.209999993,0,0,0,179.6699982,-0.930000007
1.44,0,0,0,0,472,2224,1888,1912,0.01,-0.090000004,-0.270000011,0,0,0,179.6699982,-0.930000007
1.45,0,0,0,0,472,2224,1888,1912,0.029999999,-0.079999998,0.239999995,0,0,0,179.6699982,-0.930000007
1.46,0,0,0,0,472,2232,1888,1913,-0.059999999,0.059999999,0.300000012,0,0,0,179.6699982,-0.930000007
1.47,0,0,0,0,473,2225,1888,1913,-0.059999999,0.129999995,-0.239999995,0,0,0,179.6699982,-0.939999998
1.48,0,0,0,0,473,2226,1888,1916,0.039999999,-0.050000001,-0.289999992,0,0,0,179.6699982,-0.930000007
1.49,0,0,0,0,473,2226,1888,1918,0.050000001,-0.119999997,0.219999999,0,0,0,179.6699982,-0.930000007
1.5,0,0,0,0,473,2236,1887,1917,-0.029999999,0.039999999,0.289999992,0,0,0,179.6699982,-0.930000007
1.51,0,0,0,0,473,2236,1888,1920,-0.02,0.109999999,-0.25,0,0,0,179.6699982,-0.930000007
1.52,0,0,0,0,473,2237,1888,1914,0.039999999,-0.100000002,-0.300000012,0,0,0,179.6699982,-0.930000007
1.53,0,0,0,0,473,2237,1888,1917,0.029999999,-0.109999999,0.239999995,0,0,0,179.6699982,-0.930000007
1.54,0,0,0,0,473,2231,1888,1913,-0.029999999,0.050000001,0.330000013,0,0,0,179.6699982,-0.930000007
1.55,0,0,0,0,473,2226,1888,1912,-0.029999999,0.050000001,0.330000013,0,0,0,179.6699982,-0.939999998
1.56,0,0,0,0,473,2231,1888,1913,0.039999999,-0.090000004,-0.230000004,0,0,0,179.6699982,-0.939999998
1.57,0,0,0,0,474,2230,1888,1908,0.02,-0.079999998,0.289999992,0,0,0,179.6699982,-0.930000007
1.58,0,0,0,0,473,2225,1888,1911,-0.02,0.059999999,0.289999992,0,0,0,179.6699982,-0.939999998
1.59,0,0,0,0,474,2225,1888,1917,-0.02,0.059999999,-0.25,0,0,0,179.6699982,-0.939999998
1.6,0,0,0,0,473,2232,1888,1913,0.07,-0.100000002,-0.280000001,0,0,0,179.6699982,-0.939999998
1.61,0,0,0,0,473,2234,1888,1917,0.039999999,-0.109999999,0.300000012,0,0,0,179.6699982,-0.939999998
1.62,0,0,0,0,474,2232,1888,1915,-0.01,0.050000001,0.289999992,0,0,0,179.6699982,-0.939999998
1.63,0,0,0,0,473,2231,1888,1919,-0.039999999,0.079999998,-0.300000012,0,0,0,179.6699982,-0.939999998
1.64,0,0,0,0,474,2229,1887,1912,0,-0.109999999,-0.25,0,0,0,179.6699982,-0.939999998
1.65,0,0,0,0,473,2226,1888,1903,0.01,-0.07,0.319999993,0,0,0,179.6699982,-0.939999998
1.66,0,0,0,0,474,2228,1888,1911,-0.07,0.07,0.230000004,0,0,0,179.6699982,-0.939999998
1.67,0,0,0,0,474,2226,1888,1906,-0.02,0.07,-0.289999992,0,0,0,179.6699982,-0.939999998
1.68,0,0,0,0,474,2227,1888,1913,0.039999999,-0.100000002,-0.150000006,0,0,0,179.6699982,-0.939999998
1.69,0,0,0,0,474,2231,1888,1919,0.039999999,-0.079999998,0.300000012,0,0,0,179.6699982,-0.939999998
1.7,0,0,0,0,474,2232,1888,1912,-0.02,0.079999998,0.200000003,0,0,0,179.6699982,-0.939999998
1.71,0,0,0,0,474,2232,1888,1916,0,0.059999999,-0.300000012,0,0,0,179.6699982,-0.939999998
1.72,0,0,0,0,474,2231,1888,1910,0.079999998,-0.119999997,-0.200000003,0,0,0,179.6699982,-0.939999998
1.73,0,0,0,0,474,2231,1888,1917,0.02,-0.090000004,0.289999992,0,0,0,179.6699982,-0.939999998
1.74,0,0,0,0,474,2224,1887,1913,-0.050000001,0.050000001,0.219999999,0,0,0,179.6699982,-0.939999998
1.75,0,0,0,0,474,2226,1888,1908,-0.029999999,0.050000001,-0.330000013,0,0,0,179.6699982,-0.939999998
