ET,SA,SR,IA,FZ,V,P,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
0,-0.212289068,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-9.515649987,2460.232376,-38.10615314,0,-0.851710164,-793.0637762,0.189070769,0,0
0,-0.206771166,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,9.415738782,2461.805666,-39.5676013,0,9.138134711,-560.3834594,0.188106962,0,0
0,-0.202876906,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-20.5862071,2483.099794,-39.09227712,0,-4.997768213,-997.994409,0.189561728,0,0
0,-0.198769507,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-44.76958911,2474.640735,-39.39515684,0,-18.18264325,-1081.642949,0.189639608,0,0
0,-0.193986685,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-30.73928153,2496.930615,-39.46100159,0,-13.28684424,140.4204805,0.190215568,0,0
0,-0.190509218,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-19.15635039,2488.922273,-39.85442883,0,-7.794649438,-803.1182804,0.190350471,0,0
0,-0.185719977,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-26.44156594,2527.67899,-40.26460301,0,-10.61165353,-997.1793306,0.191279312,0,0
0,-0.181957687,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-32.73598939,2504.94949,-39.69094847,0,-15.58437432,542.5050149,0.19065363,0,0
0,-0.176883353,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-40.20219499,2531.711888,-40.0250494,0,-19.2678846,-517.3693175,0.191793068,0,0
0,-0.173529255,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-28.38459618,2511.214656,-39.94783543,0,-15.92551967,-289.6038021,0.191129703,0,0
0,-0.168050141,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-21.36078472,2550.258465,-39.80452036,0,-13.93940472,-697.1930661,0.192245579,0,0
0,-0.165238463,0,9.13E-05,-1105.390361,11.16299322,98159.73515,0,0,-30.37262719,2515.500346,-40.19107276,0,-18.02529315,286.4210686,0.190995681,0,0
