ET,SA,SR,IA,FZ,V,P,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
0,-0.210860038,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-32.65386321,2699.291909,-55.32257958,0,-21.07714577,-618.2862772,0.175823336,0,0
0,-0.206493215,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-16.974372,2727.513902,-57.14694211,0,-12.49508638,-1539.853358,0.177098755,0,0
0,-0.200393707,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-23.85744877,2709.010029,-57.24294098,0,-18.10768035,-2487.13321,0.176604212,0,0
0,-0.195386498,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-62.45041926,2720.26,-56.67282305,0,-39.15599497,-1317.318826,0.176994354,0,0
0,-0.190035437,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-41.84673664,2706.713744,-56.55044728,0,-31.4160853,-1387.805799,0.176976089,0,0
0,-0.184597479,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-45.62344523,2693.756067,-56.78281994,0,-35.48929609,-1663.632964,0.177039223,0,0
0,-0.178637343,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-54.08686001,2686.386463,-56.66753997,0,-43.05593206,-1934.704155,0.177328329,0,0
0,-0.174336916,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-48.08508252,2653.192188,-56.27121113,0,-42.68745749,-676.9266224,0.176202804,0,0
0,-0.169259243,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-43.45232987,2662.601072,-56.54068192,0,-42.64572539,-1269.162036,0.177865492,0,0
0,-0.162912497,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-55.80194953,2606.800623,-56.01551097,0,-52.45189048,-1308.19773,0.176508158,0,0
0,-0.15843131,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-44.80710828,2520.057163,-56.03685973,0,-52.01813265,-1350.317878,0.173768733,0,0
0,-0.152454889,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-50.20386382,2541.202195,-55.59380538,0,-56.21360034,-1990.566624,0.176665769,0,0
0,-0.146119697,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-52.6221917,2497.711975,-54.93661421,0,-59.77786028,-1896.39036,0.176863729,0,0
0,-0.141732642,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-49.37222171,2431.586644,-55.17213121,0,-62.23521393,-2042.609165,0.175491262,0,0
0,-0.137297434,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-50.47731272,2425.782638,-54.17477642,0,-64.00652161,-997.0309924,0.177292277,0,0
0,-0.130320873,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-52.12442836,2336.646472,-52.84538998,0,-69.73162471,-901.0674275,0.176039549,0,0
0,-0.124817738,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-57.83816393,2170.864749,-52.1347337,0,-74.42542564,-480.336275,0.171526712,0,0
0,-0.120297558,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-47.44393087,2404.840745,-53.35448535,0,-70.2128027,-1152.374312,0.183936894,0,0
0,-0.114810085,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-51.85286494,2218.465727,-50.70124072,0,-76.12298121,-1110.068721,0.178578676,0,0
0,-0.109176639,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-58.42090826,1972.581951,-48.26914396,0,-81.65374401,238.5312389,0.171207016,0,0
0,-0.10401135,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-48.74168309,2291.982377,-51.20065888,0,-78.96146602,-1449.825572,0.187757139,0,0
0,-0.098700738,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-51.9994402,2041.062943,-47.54605281,0,-83.05683792,-2574.170827,0.180369534,0,0
0,-0.09217184,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-53.01315781,1967.996723,-46.11799087,0,-83.13775649,-679.0243467,0.181248634,0,0
0,-0.087692325,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-53.71425277,1961.483016,-46.47451628,0,-83.00558954,-2148.650355,0.184054383,0,0
0,-0.082859474,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-52.27809192,1895.869188,-44.67493685,0,-84.01090222,-325.922953,0.18445901,0,0
0,-0.0761124,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-54.60609425,1779.805802,-42.13967206,0,-83.49856512,-1231.146713,0.184035501,0,0
0,-0.070844672,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-52.65775118,1833.898204,-42.05759612,0,-83.89055419,-1976.072613,0.190898889,0,0
0,-0.066657851,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-55.0009229,1633.98044,-39.11233065,0,-81.36234545,-11.69027194,0.184862516,0,0
0,-0.060538041,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-54.27019131,1594.65984,-38.17244519,0,-79.89810265,-525.4172901,0.18856807,0,0
0,-0.055359069,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-49.46434912,1547.481323,-37.66142957,0,-78.58603678,-1168.726449,0.191812532,0,0
0,-0.049450571,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-57.61565421,1360.630052,-33.36510493,0,-74.66446115,214.7967284,0.188439405,0,0
0,-0.043787645,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-55.20586945,1297.652242,-31.48006835,0,-70.71567898,-658.8780276,0.193173811,0,0
0,-0.039288705,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-49.71725932,1086.255492,-27.3429487,0,-62.10938075,126.0560352,0.186597801,0,0
0,-0.03360626,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-59.44785763,915.4687368,-23.13818846,0,-57.45168722,845.3466168,0.183217818,0,0
0,-0.028029125,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-52.53977612,783.8558103,-20.61741841,0,-49.0913288,217.2393989,0.185845648,0,0
0,-0.022927178,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-54.43068458,592.2839427,-17.05346192,0,-39.51867669,-53.96025535,0.181260093,0,0
0,-0.017512817,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-66.97187301,469.3653264,-12.84772337,0,-34.43968459,-20.42079575,0.184338488,0,0
0,-0.012036537,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-64.37113713,315.7809383,-10.3967091,0,-24.57675927,23.5915974,0.183733933,0,0
0,-0.006752121,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-67.3275451,172.7703858,-7.376208054,0,-15.12220503,1003.91028,0.183389687,0,0
0,-0.001552527,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-67.85405595,35.7962203,-3.569989015,0,-5.492299988,-95.0760177,0.184910648,0,0
0,0.004159892,0,0.000102281,-1107.881256,11.16442797,54811.29513,0,0,-62.4003653,-115.5378827,-0.635683208,0,7.258683083,162.4553612,0.183840863,0,0
