ET,SA,SR,IA,FZ,V,P,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
0,-0.210890499,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-22.66859786,2731.173864,-54.67540888,0,-12.80191626,1086.591944,0.183048794,0,0
0,-0.207647804,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-13.71655238,2759.417958,-52.30599992,0,-8.430262599,1483.368731,0.183885839,0,0
0,-0.2005436,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-27.7645302,2733.669574,-52.16996524,0,-16.04070293,-66.71087249,0.182959745,0,0
0,-0.19544459,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-38.67480712,2757.681908,-54.48848725,0,-21.70442032,969.1208893,0.184438122,0,0
0,-0.191386524,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-39.60557623,2748.985606,-52.94741915,0,-24.18833362,-1209.504015,0.183776652,0,0
0,-0.184673834,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-31.27886785,2761.521652,-54.03457504,0,-22.04863266,771.2803034,0.185093695,0,0
0,-0.178849422,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-40.3699237,2760.724435,-52.69806828,0,-28.49571249,1206.433619,0.185280683,0,0
0,-0.174947102,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-47.1020253,2731.124185,-53.78190539,0,-33.47858208,-516.0724799,0.183595282,0,0
0,-0.168692311,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-33.03656075,2752.617199,-53.56337546,0,-28.59009212,202.7275946,0.185435446,0,0
0,-0.163017699,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-45.70342839,2726.497078,-53.57486908,0,-36.16256419,1158.11186,0.183491482,0,0
0,-0.158022797,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-41.74837207,2734.902562,-53.29771624,0,-37.56448182,749.8883101,0.185498811,0,0
0,-0.151870101,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-33.38872185,2742.85727,-53.1700904,0,-37.01161968,600.349169,0.187234065,0,0
0,-0.148234972,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-44.64985131,2637.560892,-52.60572404,0,-44.95479347,468.3311067,0.180739646,0,0
0,-0.142226556,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-41.11766916,2668.456883,-52.55121484,0,-44.11838086,-178.6526991,0.1849139,0,0
0,-0.135970947,0,4.774112295e-05,-1111.240601,11.16406094,68769.27025,0,0,-39.95643348,2607.753195,-52.59521171,0,-47.02293915,-755.8432296,0.183182947,0,0
